☘️广东频道,#genre#
ViuTV,http://hls.168.us.kg/u/99/master.m3u8$自用源
ViuTV,http://iptv.4666888.xyz/iptv2A.php?id=90$本地源
凤凰中文,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=nfTarK&tk=EuWQIWwVA7n1$自用源
凤凰中文,https://cdn6.163189.xyz/163189/fhzw$自用源
凤凰中文,http://php.jdshipin.com:8880/smt.php?id=phoenixtv_hd$自用源
凤凰中文,http://iptv.4666888.xyz/iptv2A.php?id=27$本地源
凤凰资讯,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=3DjwET&tk=EuWQIWwVA7n1$自用源
凤凰资讯,https://cdn6.101.qzz.io/163189/fhzx$自用源
凤凰资讯,http://php.jdshipin.com:8880/smt.php?id=phoenixinfo_hd$自用源
凤凰资讯,http://iptv.4666888.xyz/iptv2A.php?id=61$本地源
凤凰香港,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=5icOTx&tk=EuWQIWwVA7n1$自用源
凤凰香港,http://php.jdshipin.com:8880/smt.php?id=hkphoenix_twn$自用源
凤凰香港,http://iptv.4666888.xyz/iptv2A.php?id=62$本地源
香港卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=HyEuCi&tk=inWducl7RAaR$自用源
澳视澳门,http://iptv.4666888.xyz/iptv2A.php?id=41$本地源
民视,http://iptv.4666888.xyz/iptv2A.php?id=55$本地源

📺央视频道,#genre#
CCTV-1,http://183.236.43.98:4013/udp/239.77.1.144:5146$订阅源
CCTV-2,http://183.236.43.98:4013/udp/239.77.1.158:5146$订阅源
CCTV-3,http://183.236.43.98:4013/udp/239.77.0.169:5146$订阅源
CCTV-4,http://183.236.43.98:4013/udp/239.77.1.163:5146$订阅源
CCTV-5,http://183.236.43.98:4013/udp/239.77.0.170:5146$订阅源
CCTV-5+,http://183.236.43.98:4013/udp/239.77.1.31:5146$订阅源
CCTV-5+,http://183.236.43.98:4013/udp/239.77.0.87:5146$订阅源
CCTV-6,http://183.236.43.98:4013/udp/239.77.0.171:5146$订阅源
CCTV-7,http://183.236.43.98:4013/udp/239.77.0.138:5146$订阅源
CCTV-8,http://183.236.43.98:4013/udp/239.77.0.172:5146$订阅源
CCTV-9,http://183.236.43.98:4013/udp/239.77.0.135:5146$订阅源
CCTV-10,http://183.236.43.98:4013/udp/239.77.0.134:5146$订阅源
CCTV-11,http://183.236.43.98:4013/udp/239.77.1.238:5146$订阅源
CCTV-12,http://183.236.43.98:4013/udp/239.77.0.136:5146$订阅源
CCTV-13,http://183.236.43.98:4013/udp/239.253.43.196:5146$订阅源
CCTV-14,http://183.236.43.98:4013/udp/239.77.1.161:5146$订阅源
CCTV-15,http://183.236.43.98:4013/udp/239.77.1.239:5146$订阅源
CCTV-16,http://183.236.43.98:4013/udp/239.77.0.165:5146$订阅源
CCTV-17,http://183.236.43.98:4013/udp/239.77.1.121:5146$订阅源
CETV-1,http://183.236.43.98:4013/udp/239.77.1.222:5146$订阅源
CETV-4,http://183.236.43.98:4013/udp/239.253.43.40:5146$订阅源
世界地理,http://183.236.43.98:4013/udp/239.253.43.7:5146$订阅源
风云剧场,http://183.236.43.98:4013/udp/239.253.43.16:5146$订阅源
文化精品,http://183.236.43.98:4013/udp/239.253.43.13:5146$订阅源

📡卫视频道,#genre#
北京卫视,http://183.236.43.98:4013/udp/239.77.1.4:5146$订阅源
北京卫视,http://183.236.43.98:4013/udp/239.77.1.151:5146$订阅源
湖南卫视,http://183.236.43.98:4013/udp/239.77.1.5:5146$订阅源
浙江卫视,http://183.236.43.98:4013/udp/239.77.1.33:5146$订阅源
江苏卫视,http://183.236.43.98:4013/udp/239.77.1.18:5146$订阅源
深圳卫视,http://183.236.43.98:4013/udp/239.77.1.3:5146$订阅源
深圳卫视,http://183.236.43.98:4013/udp/239.77.0.130:5146$订阅源
东方卫视,http://183.236.43.98:4013/udp/239.77.1.218:5146$订阅源
湖北卫视,http://183.236.43.98:4013/udp/239.77.0.128:5146$订阅源
广西卫视,http://183.236.43.98:4013/udp/239.253.43.36:5146$订阅源
辽宁卫视,http://183.236.43.98:4013/udp/239.77.1.103:5146$订阅源
贵州卫视,http://183.236.43.98:4013/udp/239.77.1.221:5146$订阅源
安徽卫视,http://183.236.43.98:4013/udp/239.77.1.92:5146$订阅源
东南卫视,http://183.236.43.98:4013/udp/239.77.1.104:5146$订阅源
江西卫视,http://183.236.43.98:4013/udp/239.77.1.219:5146$订阅源
甘肃卫视,http://183.236.43.98:4013/udp/239.77.0.189:5146$订阅源
河北卫视,http://183.236.43.98:4013/udp/239.77.1.214:5146$订阅源
河南卫视,http://183.236.43.98:4013/udp/239.77.1.229:5146$订阅源
山东卫视,http://183.236.43.98:4013/udp/239.77.1.142:5146$订阅源
四川卫视,http://183.236.43.98:4013/udp/239.77.1.215:5146$订阅源
天津卫视,http://183.236.43.98:4013/udp/239.77.0.131:5146$订阅源
天津卫视,http://183.236.43.98:4013/udp/239.77.1.141:5146$订阅源
天津卫视,http://183.236.43.98:4013/udp/239.77.1.182:5146$订阅源

🎬电影频道,#genre#
嘉佳卡通,http://183.236.43.98:4013/udp/239.77.0.179:5146$订阅源
美亚电影,http://tl.061833.xyz/tl/null-5#http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=YUJ2Ne&tk=EuWQIWwVA7n1$自用源

🕘️更新时间,#genre#
2026-03-10 17:56:56,http://livezhpd.czbtv.com:38880/live/ctvzhpd.m3u8?secret=czbtv20260101$自用源
